Date,Operação
2009-10-15,HOLD
2009-10-16,HOLD
2009-10-19,HOLD
2009-10-20,HOLD
2009-10-21,HOLD
2009-10-22,HOLD
2009-10-23,HOLD
2009-10-26,HOLD
2009-10-27,HOLD
2009-10-28,HOLD
2009-10-29,HOLD
2009-10-30,HOLD
2009-11-03,HOLD
2009-11-04,HOLD
2009-11-05,HOLD
2009-11-06,HOLD
2009-11-09,HOLD
2009-11-10,HOLD
2009-11-11,HOLD
2009-11-12,HOLD
2009-11-13,HOLD
2009-11-16,HOLD
2009-11-17,HOLD
2009-11-18,HOLD
2009-11-19,HOLD
2009-11-23,HOLD
2009-11-24,HOLD
2009-11-25,HOLD
2009-11-26,HOLD
2009-11-27,HOLD
2009-11-30,HOLD
2009-12-01,HOLD
2009-12-02,HOLD
2009-12-03,HOLD
2009-12-04,HOLD
2009-12-07,HOLD
2009-12-08,HOLD
2009-12-09,HOLD
2009-12-10,HOLD
2009-12-11,HOLD
2009-12-14,HOLD
2009-12-15,HOLD
2009-12-16,HOLD
2009-12-17,HOLD
2009-12-18,HOLD
2009-12-21,HOLD
2009-12-22,HOLD
2009-12-23,HOLD
2009-12-28,HOLD
2009-12-29,HOLD
2009-12-30,HOLD
2010-01-04,HOLD
2010-01-05,HOLD
2010-01-06,HOLD
2010-01-07,HOLD
2010-01-08,HOLD
2010-01-11,HOLD
2010-01-12,HOLD
2010-01-13,HOLD
2010-01-14,HOLD
2010-01-15,HOLD
2010-01-18,HOLD
2010-01-19,HOLD
2010-01-20,HOLD
2010-01-21,HOLD
2010-01-22,HOLD
2010-01-26,HOLD
2010-01-27,HOLD
2010-01-28,HOLD
2010-01-29,HOLD
2010-02-01,HOLD
2010-02-02,HOLD
2010-02-03,HOLD
2010-02-04,HOLD
2010-02-05,HOLD
2010-02-08,HOLD
2010-02-09,HOLD
2010-02-10,HOLD
2010-02-11,HOLD
2010-02-12,HOLD
2010-02-17,HOLD
2010-02-18,HOLD
2010-02-19,HOLD
2010-02-22,HOLD
2010-02-23,HOLD
2010-02-24,HOLD
2010-02-25,HOLD
2010-02-26,HOLD
2010-03-01,HOLD
2010-03-02,HOLD
2010-03-03,HOLD
2010-03-04,HOLD
2010-03-05,HOLD
2010-03-08,HOLD
2010-03-09,HOLD
